jeudi 12 décembre 2024	17:05:14	Sampling Period : 50  ms		Experiment

t	Alpha1L		Alpha2L		Alpha1R		Alpha2R		T_Alpha1L	T_Alpha2L	T_Alpha1R	T_Alpha2R
312	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
313	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
314	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
315	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
316	826,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
317	827,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
318	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
319	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
320	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
321	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
322	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
323	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
324	827,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
325	827,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
326	827,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
327	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
328	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
329	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
330	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
331	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
332	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
333	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
334	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
335	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
336	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
337	827,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
338	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
339	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
340	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
341	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
342	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
343	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
344	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
345	827,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
346	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
347	826,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
348	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
349	827,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
350	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
351	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
352	826,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
353	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
354	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
355	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
356	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
357	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
358	826,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
359	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
360	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
361	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
362	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
363	826,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
364	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
365	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
366	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
367	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
368	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
369	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
370	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
371	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
372	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
373	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
