jeudi 12 décembre 2024	17:09:28	Sampling Period : 50  ms		Experiment

t	Alpha1L		Alpha2L		Alpha1R		Alpha2R		T_Alpha1L	T_Alpha2L	T_Alpha1R	T_Alpha2R
259	1,217000E+3	586,000000E+0	0,000000E+0	0,000000E+0
260	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
261	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
262	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
263	1,217000E+3	586,000000E+0	0,000000E+0	0,000000E+0
264	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
265	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
266	1,217000E+3	586,000000E+0	0,000000E+0	0,000000E+0
267	1,217000E+3	586,000000E+0	0,000000E+0	0,000000E+0
268	1,217000E+3	586,000000E+0	0,000000E+0	0,000000E+0
269	1,217000E+3	586,000000E+0	0,000000E+0	0,000000E+0
270	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
271	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
272	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
273	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
274	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
275	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
276	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
277	1,217000E+3	586,000000E+0	0,000000E+0	0,000000E+0
278	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
279	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
280	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
281	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
282	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
283	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
284	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
285	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
286	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
287	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
288	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
289	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
290	1,217000E+3	586,000000E+0	0,000000E+0	0,000000E+0
291	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
292	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
293	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
294	1,217000E+3	586,000000E+0	0,000000E+0	0,000000E+0
295	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
296	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
297	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
298	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
299	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
300	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
301	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
302	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
303	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
304	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
305	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
306	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
307	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
308	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
309	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
310	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
311	1,217000E+3	586,000000E+0	0,000000E+0	0,000000E+0
312	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
313	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
314	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
315	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
316	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
317	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
318	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
319	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
320	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
321	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
322	1,217000E+3	586,000000E+0	0,000000E+0	0,000000E+0
323	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
324	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
325	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
326	1,217000E+3	586,000000E+0	0,000000E+0	0,000000E+0
327	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
328	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
329	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
